IS_VaVaI_id,IS_VaVaI_Name_CS
ico:00023752,"Národní ústav duševního zdraví"
ico:00027049,"Výzkumný ústav meliorací a ochrany půdy, v.v.i."
ico:00079481,"Muzeum skla a bižuterie v Jablonci nad Nisou"
ico:25328859,"Agrotest fyto, s.r.o."
ico:26296080,"Zemědělský výzkum, spol. s r.o."
ico:26788462,"Agrovýzkum Rapotín s.r.o."
ico:26791251,"OSEVA vývoj a výzkum s.r.o."
ico:28080581,"Jihočeský vědeckotechnický park, a.s."
ico:28645413,"Centrum hydraulického výzkumu spol. s r.o."
ico:43000681,"Komise J. Williama Fulbrighta"
ico:70979391,"Státní oblastní archiv v Praze"
